title,creator,publicationName,coverDate,doi,citedby_count,coverYear
A preliminary study on the reference intervals of serum tumor marker in apparently healthy elderly population in southwestern China using real-world data,Miao Q.,BMC Cancer,2024-12-01,10.1186/s12885-024-12408-1,0,2024
Abusive supervision and nursing students’ intention to leave the nursing profession: a moderated mediation model of emotional exhaustion and the nurse-patient relationship,Hong Y.,BMC Nursing,2024-12-01,10.1186/s12912-024-02025-5,0,2024
External validation and comparison of magnetic resonance imaging-based risk prediction models for prostate biopsy stratification,Diamand R.,World Journal of Urology,2024-12-01,10.1007/s00345-024-05068-0,0,2024
An enhanced nonparametric quality control chart with application related to industrial process,Abid M.,Scientific Reports,2024-12-01,10.1038/s41598-024-64084-7,0,2024
<sup>13</sup>C-Stable isotope resolved metabolomics uncovers dynamic biochemical landscape of gut microbiome-host organ communications in mice,Xiao X.,Microbiome,2024-12-01,10.1186/s40168-024-01808-x,0,2024
Nowcasting methods to improve the performance of respiratory sentinel surveillance: lessons from the COVID-19 pandemic,Flores-Alvarado S.,Scientific Reports,2024-12-01,10.1038/s41598-024-62965-5,0,2024
Effectiveness of simulation-based clinical research curriculum for undergraduate medical students - a pre-post intervention study with external control,Huang Q.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05455-6,0,2024
Delineating excess comorbidities in idiopathic pulmonary fibrosis: an observational study,Ozaltin B.,Respiratory Research,2024-12-01,10.1186/s12931-024-02875-2,0,2024
"Isolation, Identification and Antibiogram of Bacteria from Imported Frozen Fish at Public Markets in Mosul City, Iraq",Alabedi S.F.,Egyptian Journal of Veterinary Science(Egypt),2025-01-01,10.21608/EJVS.2024.269393.1839,0,2025
Visual evoked potentials in patients with congenital color vision deficiency,Kızıltaş B.,International Ophthalmology,2024-12-01,10.1007/s10792-024-03229-z,0,2024
Weightlessness leads to an increase granulosa cells in the growing follicle,Kikina A.Y.,npj Microgravity,2024-12-01,10.1038/s41526-024-00413-4,0,2024
An ethologically relevant paradigm to assess defensive response to looming visual contrast stimuli,Calanni J.S.,Scientific Reports,2024-12-01,10.1038/s41598-024-63458-1,0,2024
"Factors related to knowledge, attitudes, and behaviors regarding cervical cancer among Yemeni women",Ali B.,BMC Cancer,2024-12-01,10.1186/s12885-024-12435-y,0,2024
Computational approaches and challenges in the analysis of circRNA data,Digby B.,BMC Genomics,2024-12-01,10.1186/s12864-024-10420-0,0,2024
Prevalence of ST1049-KL5 carbapenem-resistant Klebsiella pneumoniae with a bla<inf>KPC-2</inf> and bla<inf>NDM-1</inf> co-carrying hypertransmissible IncM1 plasmid,Liu H.,Communications Biology,2024-12-01,10.1038/s42003-024-06398-w,0,2024
Locusta migratoria hydrolysates attenuate lipopolysaccharide (LPS)/D-Galactosamine (D-Gal)-induced cytotoxicity and inflammation in Hep G2 cells via NF-κB signaling suppression,Zheng J.,Applied Biological Chemistry,2024-12-01,10.1186/s13765-024-00900-y,0,2024
Structural basis for recognition of 26RFa by the pyroglutamylated RFamide peptide receptor,Jin S.,Cell Discovery,2024-12-01,10.1038/s41421-024-00670-3,0,2024
Sequencing Effects of Concurrent Strength and Endurance Training on Selected Measures of Physical Fitness in Young Male Soccer Players: A Randomized Matched-Pairs Trial,Blechschmied R.,Sports Medicine - Open,2024-12-01,10.1186/s40798-024-00726-4,0,2024
Association between PM<inf>2.5</inf> from a coal mine fire and FeNO concentration 7.5 years later,Kress S.,BMC Pulmonary Medicine,2024-12-01,10.1186/s12890-024-03075-w,0,2024
Associations between over-the-counter analgesics usage and symptoms of anxiety and depression in adolescents: a network analysis,Roalsø E.S.,BMC Psychiatry,2024-12-01,10.1186/s12888-024-05802-3,0,2024
Comparative study of two laboratory techniques for the detection of HLA-B27 in patients with axial spondyloarthritis: a cross-sectional analysis,dos Santos Angeli R.,Advances in Rheumatology,2024-12-01,10.1186/s42358-024-00383-x,0,2024
Numerical Modeling and Dynamic Response Analysis of an End-Anchored Floating Bridge With a Damaged Pontoon Under Repair Operation,Cui M.,Journal of Offshore Mechanics and Arctic Engineering,2024-12-01,10.1115/1.4065387,0,2024
Use of the supportive and palliative care indicators tool (SPICT™) for end-of-life discussions: a scoping review,Mahura M.,BMC Palliative Care,2024-12-01,10.1186/s12904-024-01445-z,0,2024
Comparing machine learning algorithms to predict vegetation fire detections in Pakistan,Shahzad F.,Fire Ecology,2024-12-01,10.1186/s42408-024-00289-5,0,2024
Optical Considerations for Designing Laser-Based Volumetric Particle Tracking Velocimetry,Abitan H.,"Journal of Fluids Engineering, Transactions of the ASME",2024-12-01,10.1115/1.4065544,0,2024
"Cinnamon nanoemulsion mitigates acetamiprid-induced hepatic and renal toxicity in rats: biochemical, histopathological, immunohistochemical, and molecular docking analysis",Aioub A.A.A.,BMC Veterinary Research,2024-12-01,10.1186/s12917-024-04084-x,0,2024
Insights into the prognostic value and immunological role of CD74 in pan-cancer,Liu Z.,Discover Oncology,2024-12-01,10.1007/s12672-024-01081-2,0,2024
Perception of motion salience shapes the emergence of collective motions,Xiao Y.,Nature Communications,2024-12-01,10.1038/s41467-024-49151-x,0,2024
Technology factors and ERP system efficiency in the Jordanian industrial firms: does company size matter?,Lutfi A.,Humanities and Social Sciences Communications,2024-12-01,10.1057/s41599-024-03198-9,2,2024
"Vocal convergence and social proximity shape the calls of the most basal Passeriformes, New Zealand Wrens",Moran I.G.,Communications Biology,2024-12-01,10.1038/s42003-024-06253-y,0,2024
The management pattern and outcomes of chronic thromboembolic pulmonary hypertension: rationale and design for a Chinese real-world study,Zhang S.,BMC Pulmonary Medicine,2024-12-01,10.1186/s12890-024-03042-5,0,2024
The efficacy and assessment value of the level of thyroglobulin wash-out after fine-needle aspiration cytodiagnosis in the evaluation of lymph node metastasis in papillary thyroid carcinoma,Chen J.,World Journal of Surgical Oncology,2024-12-01,10.1186/s12957-024-03430-5,0,2024
Longitudinal changes in the volume of residual lung lobes after lobectomy for lung cancer: a retrospective cohort study,Tu D.H.,Scientific Reports,2024-12-01,10.1038/s41598-024-63013-y,0,2024
The peptidase DA1 cleaves and destabilizes WUSCHEL to control shoot apical meristem size,Cui G.,Nature Communications,2024-12-01,10.1038/s41467-024-48361-7,0,2024
The TAS1R2 G-protein-coupled receptor is an ambient glucose sensor in skeletal muscle that regulates NAD homeostasis and mitochondrial capacity,Serrano J.,Nature Communications,2024-12-01,10.1038/s41467-024-49100-8,0,2024
Efficacy of multicomponent interventions on injury risk among ice and snow sports participants—a systematic review and meta-analysis,Fan Z.,"BMC Sports Science, Medicine and Rehabilitation",2024-12-01,10.1186/s13102-024-00921-6,0,2024
Prognostic and predictive value of examined lymph node count in stage III colorectal cancer: a population based study,Wei R.,World Journal of Surgical Oncology,2024-12-01,10.1186/s12957-024-03404-7,0,2024
Self-normalized inference for stationarity of irregular spatial data,Hu R.,Journal of Statistical Planning and Inference,2025-01-01,10.1016/j.jspi.2024.106191,0,2025
Demographic shifts reshaping the landscape of hand trauma: a comprehensive single-center analysis of changing trends in hand injuries from 2007 to 2022,Tamulevicius M.,Injury Epidemiology,2024-12-01,10.1186/s40621-024-00510-8,0,2024
"Single-staged three columns reconstruction of thoracolumbar AO Spine A4 burst fracture with traumatic canal stenosis causing neurological deficit using posterior open monoaxial pedicle screw distraction fixation, laminectomy, and titanium jack implant expansion kyphoplasty to avoid the need for corpectomy: an elegant proof-of-concept case",Beucler N.,Neurosurgical Review,2024-12-01,10.1007/s10143-024-02476-z,0,2024
Do middle-aged patients with onset of idiopathic scoliosis before the age of 10 years who have reduced pulmonary function have a risk for rapid decline – a comparative study,Danielsson A.J.,BMC Pulmonary Medicine,2024-12-01,10.1186/s12890-024-03053-2,0,2024
Precursors to rock failure in the laboratory using ultrasonic monitoring methods,Veltmeijer A.,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2024-12-01,10.1007/s40948-024-00812-7,0,2024
Central nervous system-derived extracellular vesicles: the next generation of neural circulating biomarkers?,Bravo-Miana R.d.C.,Translational Neurodegeneration,2024-12-01,10.1186/s40035-024-00418-9,0,2024
Variation of flammability and smoke toxicity of upholstered furniture composites with fire retardant treatment,Lane J.A.,Journal of Materials Science and Technology,2024-12-10,10.1016/j.jmst.2024.02.034,0,2024
The role of interleukin-10 receptor alpha (IL10Rα) in Mycobacterium avium subsp. paratuberculosis infection of a mammary epithelial cell line,Fong A.,BMC Genomic Data,2024-12-01,10.1186/s12863-024-01234-w,0,2024
Research on the theory and method of reduced-hole blasting for large cross-section tunnel based on explosive energy dissipation,Tian X.,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2024-12-01,10.1007/s40948-024-00816-3,0,2024
Dual-stage deep learning for sangac optical fiber sensing multi-event detection and localization,Ali J.,Optics and Laser Technology,2024-12-01,10.1016/j.optlastec.2024.111295,0,2024
Fostering clinical reasoning ability in preclinical students through an illness script worksheet approach in flipped learning: a quasi-experimental study,Si J.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05614-9,0,2024
Dendritic spine head diameter is reduced in the prefrontal cortex of progranulin haploinsufficient mice,Cook A.K.,Molecular Brain,2024-12-01,10.1186/s13041-024-01095-5,0,2024
Testing truncation dependence: The Gumbel–Barnett copula,Toparkus A.M.,Journal of Statistical Planning and Inference,2025-01-01,10.1016/j.jspi.2024.106194,0,2025
"One spinal manipulation session reduces local pain sensitivity but does not affect postural stability in individuals with chronic low back pain: a randomised, placebo-controlled trial",Freitas J.P.,Chiropractic and Manual Therapies,2024-12-01,10.1186/s12998-024-00541-4,0,2024
"Ecological risk and spatial distribution, sources of heavy metals in typical purple soils, southwest China",Gong C.,Scientific Reports,2024-12-01,10.1038/s41598-024-59718-9,0,2024
Nomograms incorporating hsa_circ_0029325 highly expressed in exosomes of hepatocellular carcinoma predict the postoperative outcomes,Yin K.L.,Discover Oncology,2024-12-01,10.1007/s12672-024-01060-7,0,2024
Safety and adherence of bictegravir/emtricitabine/tenofovir alafenamide for HIV post-exposure prophylaxis among adults in Guiyang China: a prospective cohort study,Gan L.,BMC Infectious Diseases,2024-12-01,10.1186/s12879-024-09407-9,0,2024
Technological Advancements in Bite-Sized Learning: Developing a Framework for Basic Jazz Guitar Reharmonization Techniques,Mazlan C.A.N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,10.37934/araset.43.1.243250,0,2025
Cross-species transcriptomics identifies obesity associated genes between human and mouse studies,Acharjee A.,Journal of Translational Medicine,2024-12-01,10.1186/s12967-024-05414-1,0,2024
Effects of undergraduate ultrasound education on cross-sectional image understanding and visual-spatial ability - a prospective study,Weimer J.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05608-7,0,2024
Temporal composition of the cervicovaginal microbiome associates with hrHPV infection outcomes in a longitudinal study,Molina M.A.,BMC Infectious Diseases,2024-12-01,10.1186/s12879-024-09455-1,0,2024
"Effects of polymorphisms in PIT1, H-FABP, PIK3C3 and CAST genes on chemical composition, amino acid content in meat of Vietnamese indigenous fatty pig breed “I”",Tuoi P.T.,Veterinary Integrative Sciences,2025-01-01,10.12982/VIS.2025.002,0,2025
An ultra-weak space-time variational formulation for the Schrödinger equation,Hain S.,Journal of Complexity,2024-12-01,10.1016/j.jco.2024.101868,0,2024
A machine learning contest enhances automated freezing of gait detection and reveals time-of-day effects,Salomon A.,Nature Communications,2024-12-01,10.1038/s41467-024-49027-0,0,2024
Stress–strain curve and elastic behavior of the fibrotic lung with usual interstitial pneumonia pattern during protective mechanical ventilation,Tonelli R.,Scientific Reports,2024-12-01,10.1038/s41598-024-63670-z,0,2024
"Effects of Pycnogenol® in people with post-COVID-19 condition (PYCNOVID): study protocol for a single-center, placebo controlled, quadruple-blind, randomized trial",Radtke T.,Trials,2024-12-01,10.1186/s13063-024-08187-6,0,2024
Impact of LiDAR point cloud compression on 3D object detection evaluated on the KITTI dataset,Martins N.A.B.,Eurasip Journal on Image and Video Processing,2024-12-01,10.1186/s13640-024-00633-4,0,2024
Paleosedimentary environmental reconstruction and mechanisms of the response to the Toarcian OAE in a lacustrine shale system,Wang E.,Scientific Reports,2024-12-01,10.1038/s41598-024-64290-3,0,2024
Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,10.6180/jase.202501_28(1).0004,0,2025
Perinephric fat stranding is associated with increased age and stone size but not with serum creatinine in patients with obstructing ureterolithiasis,Van Horn C.M.,Urolithiasis,2024-12-01,10.1007/s00240-024-01583-2,0,2024
Terminally differentiated effector memory T cells associate with cognitive and AD-related biomarkers in an aging-based community cohort,Winford E.,Immunity and Ageing,2024-12-01,10.1186/s12979-024-00443-2,0,2024
7 Tesla magnetic resonance spectroscopic imaging predicting IDH status and glioma grading,Cadrien C.,Cancer Imaging,2024-12-01,10.1186/s40644-024-00704-9,0,2024
Utility of shaking chills as a diagnostic sign for bacteremia in adults: a systematic review and meta-analysis,Aita T.,BMC Medicine,2024-12-01,10.1186/s12916-024-03467-z,0,2024
Machine learning survival prediction using tumor lipid metabolism genes for osteosarcoma,Li S.,Scientific Reports,2024-12-01,10.1038/s41598-024-63736-y,0,2024
"Neither injury induced macrophages within the nerve, nor the environment created by Wallerian degeneration is necessary for enhanced in vivo axon regeneration after peripheral nerve injury",Talsma A.D.,Journal of Neuroinflammation,2024-12-01,10.1186/s12974-024-03132-5,0,2024
Emotional and motivational intelligence in Ethiopian high school learners' writing performance in relation to gender differences,Hiluf B.,Asian-Pacific Journal of Second and Foreign Language Education,2024-12-01,10.1186/s40862-024-00282-0,0,2024
Enhanced electromagnetic tunability of barium strontium titanate films via coating Pr modified yttrium iron garnet layer,Jiao T.,Journal of Materials Science and Technology,2024-12-10,10.1016/j.jmst.2024.03.019,0,2024
Chronic ingestion of soy peptide supplementation reduces aggressive behavior and abnormal fear memory caused by juvenile social isolation,Tamura H.,Scientific Reports,2024-12-01,10.1038/s41598-024-62534-w,0,2024
"The sterol C-24 methyltransferase encoding gene, erg6, is essential for viability of Aspergillus species",Xie J.,Nature Communications,2024-12-01,10.1038/s41467-024-48767-3,0,2024
Torsional strength of reinforced concrete beams with incorporating agricultural waste ash,Krishnan A.,Journal of Building Pathology and Rehabilitation,2024-12-01,10.1007/s41024-024-00448-w,0,2024
Acute anterior cruciate ligament rupture: can repair become an alternative to reconstruction: a meta-analysis of randomized controlled trials and cohort studies,Opoku M.,Journal of Orthopaedic Surgery and Research,2024-12-01,10.1186/s13018-024-04812-x,0,2024
Enhancing fall risk assessment: instrumenting vision with deep learning during walks,Moore J.,Journal of NeuroEngineering and Rehabilitation,2024-12-01,10.1186/s12984-024-01400-2,0,2024
Optimal variable identification for accurate detection of causal expression Quantitative Trait Loci with applications in heart-related diseases,Wang G.,Computational and Structural Biotechnology Journal,2024-12-01,10.1016/j.csbj.2024.05.050,0,2024
Keeping up with the pathogens: improved antimicrobial resistance detection and prediction from Pseudomonas aeruginosa genomes,Madden D.E.,Genome Medicine,2024-12-01,10.1186/s13073-024-01346-z,0,2024
Compendium of 5810 genomes of sheep and goat gut microbiomes provides new insights into the glycan and mucin utilization,Zhang K.,Microbiome,2024-12-01,10.1186/s40168-024-01806-z,0,2024
"The effect of music on comfort, pain, and anxiety in patients with bone marrow aspiration and biopsy in Turkey: a mixed-methods study",Şahan S.,BMC Complementary Medicine and Therapies,2024-12-01,10.1186/s12906-024-04531-0,0,2024
Physiological platelet aggregation assay to mitigate drug-induced thrombocytopenia using a microphysiological system,Harada K.,Scientific Reports,2024-12-01,10.1038/s41598-024-64063-y,0,2024
Delayed plasma kallikrein inhibition fosters post-stroke recovery by reducing thrombo-inflammation,Haupeltshofer S.,Journal of Neuroinflammation,2024-12-01,10.1186/s12974-024-03149-w,0,2024
Short-Term Electrical Load Forecasting Based on Fuzzy Rough Set Feature Selection and Multi-kernel Extreme Learning Machine,Liu G.,International Journal of Computational Intelligence Systems,2024-12-01,10.1007/s44196-024-00577-7,0,2024
Cryoprotective Effects of Royal Jelly Extenders on Buffalo Bull Spermatozoa,El-Sheshtawy R.I.,Egyptian Journal of Veterinary Science(Egypt),2025-01-01,10.21608/EJVS.2024.248926.1671,0,2025
Proteome-wide Mendelian randomization identifies potential therapeutic targets for nonalcoholic fatty liver diseases,Li J.,Scientific Reports,2024-12-01,10.1038/s41598-024-62742-4,0,2024
Research On Secondary Control Strategy Of Microgrid Based On Adaptive Virtual Impedance,Zhang B.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,10.6180/jase.202501_28(1).0005,0,2025
Biodegradable plastic formulated from chitosan of Aristeus antennatus shells with castor oil as a plasticizer agent and starch as a filling substrate,El Feky A.R.,Scientific Reports,2024-12-01,10.1038/s41598-024-61377-9,0,2024
Comparison of macular changes and visual outcomes between femtosecond laser-assisted cataract surgery and conventional phacoemulsification surgery for high myopic cataract patients,Liang X.,BMC Ophthalmology,2024-12-01,10.1186/s12886-024-03479-6,0,2024
Evaluation of the relationships between atmospheric indices and rainfall intensities: Black Sea region Türkiye,Keskin A.U.,Regional Studies in Marine Science,2024-12-10,10.1016/j.rsma.2024.103627,0,2024
"Characterization of systolic and diastolic function, alongside proteomic profiling, in doxorubicin-induced cardiovascular toxicity in mice",Krüger D.N.,Cardio-Oncology,2024-12-01,10.1186/s40959-024-00241-1,0,2024
"High-efficiency lanthanum-modified zeolite adsorbents for phosphorus control and algal suppression: Preparation, characterization and mechanistic insights",Luo Q.,Separation and Purification Technology,2025-01-01,10.1016/j.seppur.2024.128146,0,2025
Dynamic Analysis Of The UHPFRC High-rise Building Under High Explosion Using Coupled Eulerian-Lagrangian Approach,Nguyen X.B.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,10.6180/jase.202502_28(2).0007,0,2025
"Loss of protein tyrosine phosphatase receptor delta PTPRD increases the number of cortical neurons, impairs synaptic function and induces autistic-like behaviors in adult mice",Cortés B.I.,Biological Research,2024-12-01,10.1186/s40659-024-00522-0,0,2024
Associations between over-the-counter analgesics usage and symptoms of anxiety and depression in adolescents: a network analysis,Roalsø E.S.,BMC Psychiatry,2024-12-01,10.1186/s12888-024-05802-3,0,2024
Vortex-like vs. turbulent mixing of a Viscum album preparation affects crystalline structures formed in dried droplets,Kokornaczyk M.O.,Scientific Reports,2024-12-01,10.1038/s41598-024-63797-z,0,2024
Screening of malaria infections in human blood samples with varying parasite densities and anaemic conditions using AI-Powered mid-infrared spectroscopy,Mshani I.H.,Malaria Journal,2024-12-01,10.1186/s12936-024-05011-z,0,2024
Biodegradable plastic formulated from chitosan of Aristeus antennatus shells with castor oil as a plasticizer agent and starch as a filling substrate,El Feky A.R.,Scientific Reports,2024-12-01,10.1038/s41598-024-61377-9,0,2024
Geologically younger ecosystems are more dependent on soil biodiversity for supporting function,Feng J.,Nature Communications,2024-12-01,10.1038/s41467-024-48289-y,0,2024
"The investigation of effect on foot plantar massage on functional recovery in older adults with general surgery, randomized clinical trial",Saltan A.,Aging Clinical and Experimental Research,2024-12-01,10.1007/s40520-024-02770-2,0,2024
Acceptance of virtual patients as a continuous professional development approach among practicing nurses in primary health care settings in a low-income country: a quasi-experimental posttest setup design,Nyiringango G.,BMC Nursing,2024-12-01,10.1186/s12912-024-02000-0,0,2024
"Effect of resilience training on stress, hope and psychological toughness of mothers living with mentally and physically disabled children",Sharifian P.,BMC Pediatrics,2024-12-01,10.1186/s12887-024-04828-6,0,2024
"Effects of professional development program on primary science teachers’ ICT use in China: mediation effects of science teachers’ knowledge, beliefs and instructional practice",Lv B.,Disciplinary and Interdisciplinary Science Education Research,2024-12-01,10.1186/s43031-024-00099-4,0,2024
High-frame-rate contrast-enhanced ultrasound to differentiate between clear cell renal cell carcinoma and angiomyolipoma,Wang J.L.,BMC Cancer,2024-12-01,10.1186/s12885-024-12413-4,0,2024
Root-to-shoot signaling positively mediates source-sink relation in late growth stages in diploid and tetraploid wheat,Batool A.,BMC Plant Biology,2024-12-01,10.1186/s12870-024-05046-z,0,2024
The role of neoadjuvant chemotherapy before radical surgery in stage IB2/IIA2 squamous cell cervical cancers,ALCI A.,BMC Women's Health,2024-12-01,10.1186/s12905-024-03215-8,0,2024
Effectiveness of empathy portfolios in developing professional identity formation in medical students: a randomized controlled trial,Baseer M.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05529-5,0,2024
Effectiveness of simulation-based clinical research curriculum for undergraduate medical students - a pre-post intervention study with external control,Huang Q.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05455-6,0,2024
Tongue image fusion and analysis of thermal and visible images in diabetes mellitus using machine learning techniques,Thirunavukkarasu U.,Scientific Reports,2024-12-01,10.1038/s41598-024-64150-0,0,2024
Effect of Aquilaria malaccensis leaves aqueous extract supplementation on testicular seminiferous tubules and testosterone level in adult male Sprague Dawley rats,Zaidi N.,Veterinary Integrative Sciences,2025-01-01,10.12982/VIS.2025.007,0,2025
Inhibition of mannan-binding lectin associated serine protease (MASP)-2 reduces the cognitive deficits in a mouse model of severe traumatic brain injury,Mercurio D.,Journal of Neuroinflammation,2024-12-01,10.1186/s12974-024-03133-4,0,2024
Ownership and use of insecticide-treated nets in Myanmar: insights from a nationally representative demographic and health survey,Win K.M.,Malaria Journal,2024-12-01,10.1186/s12936-024-04994-z,0,2024
Simultaneous assessment of blood flow and myelin content in the brain white matter with dynamic [11 C]PiB PET: a test-retest study in healthy controls,Yazdan-Panah A.,EJNMMI Research,2024-12-01,10.1186/s13550-024-01107-4,0,2024
Violence outcomes in later adolescence with the Good School Toolkit-Primary: a nonrandomized controlled trial in Uganda,Knight L.,BMC Public Health,2024-12-01,10.1186/s12889-024-19024-5,0,2024
Prioritising Key Concepts for informed health choices in cancer: An evidence-based online educational programme,Li M.,PEC Innovation,2024-12-15,10.1016/j.pecinn.2024.100311,0,2024
Cognitive load theory in workplace-based learning from the viewpoint of nursing students: application of a path analysis,Tabatabaee S.S.,BMC Medical Education,2024-12-01,10.1186/s12909-024-05664-z,0,2024
Integrated analysis reveals critical cisplatin-resistance regulators E2F7 contributed to tumor progression and metastasis in lung adenocarcinoma,Mao X.,Cancer Cell International,2024-12-01,10.1186/s12935-024-03366-6,0,2024
Single and combined toxicity of tadalafil (Cilais) and microplastic in Tilapia fish (Oreochromis niloticus),Sabra M.S.,Scientific Reports,2024-12-01,10.1038/s41598-024-64282-3,0,2024
